AIR 			colodur_azure_4e
ALUMINIUM 		aniso_brushed_aluminium_1
COPPER 			aniso_metallic_paper_copper
CRYSTAL_GLASS 	acrylic_felt_white
DIAMOND 		vch_ultra_pink
FABRIC 			aniso_morpho_melenaus
GEMS 			vch_ultra_pink
GOLD 			vch_golden_yellow
IRON 			weta_brushed_steel_satin_pink
LEAF 			leaf_maple
MATTE 			colodur_napoli_4f
PAINT 			acrylic_felt_white
PLASTIC 		aniso_green_pvc
SILVER 			cc_ibiza_sunset
STONE 			cm_white
WATER 			irid_flake_paint1
DARK_STONE 		colodur_napoli_4f
WOOD 			cardboard
DARK_WOOD 		leaf_maple
DARK_IRON 		chm_light_blue
DARK_PLASTIC 	ilm_aniso_darth_vader_pants
