wl	n
2.5000	1.362
2.5063	1.361
2.5126	1.361
2.5189	1.361
2.5253	1.361
2.5316	1.363
2.5381	1.361
2.5445	1.363
2.5510	1.361
2.5575	1.360
2.5641	1.360
2.5707	1.359
2.5773	1.357
2.5840	1.358
2.5907	1.358
2.5974	1.358
2.6042	1.361
2.6110	1.355
2.6178	1.358
2.6247	1.358
2.6316	1.359
2.6385	1.355
2.6455	1.353
2.6525	1.350
2.6596	1.349
2.6667	1.349
2.6738	1.343
2.6810	1.336
2.6882	1.330
2.6954	1.311
2.7027	1.306
2.7100	1.333
2.7174	1.346
2.7248	1.346
2.7322	1.350
2.7397	1.355
2.7473	1.353
2.7548	1.334
2.7624	1.396
2.7701	1.424
2.7778	1.397
2.7855	1.394
2.7933	1.386
2.8011	1.383
2.8090	1.379
2.8169	1.381
2.8249	1.379
2.8329	1.378
2.8409	1.377
2.8490	1.376
2.8571	1.376
2.8653	1.374
2.8736	1.374
2.8818	1.374
2.8902	1.374
2.8986	1.374
2.9070	1.374
2.9155	1.374
2.9240	1.374
2.9326	1.374
2.9412	1.374
2.9499	1.374
2.9586	1.374
2.9674	1.374
2.9762	1.374
2.9851	1.373
2.9940	1.373
3.0030	1.374
3.0120	1.374
3.0211	1.374
3.0303	1.374
3.0395	1.374
3.0488	1.374
3.0581	1.374
3.0675	1.374
3.0769	1.374
3.0864	1.374
3.0960	1.374
3.1056	1.374
3.1153	1.375
3.1250	1.375
3.1348	1.375
3.1447	1.375
3.1546	1.375
3.1646	1.375
3.1746	1.375
3.1847	1.375
3.1949	1.375
3.2051	1.375
3.2154	1.374
3.2258	1.375
3.2362	1.375
3.2468	1.375
3.2573	1.375
3.2680	1.375
3.2787	1.375
3.2895	1.375
3.3003	1.375
3.3113	1.375
3.3223	1.375
3.3333	1.376
3.3445	1.376
3.3557	1.376
3.3670	1.376
3.3784	1.376
3.3898	1.376
3.4014	1.376
3.4130	1.376
3.4247	1.376
3.4364	1.376
3.4483	1.376
3.4602	1.377
3.4722	1.377
3.4843	1.377
3.4965	1.377
3.5088	1.377
3.5211	1.377
3.5336	1.377
3.5461	1.377
3.5587	1.378
3.5714	1.378
3.5842	1.378
3.5971	1.378
3.6101	1.378
3.6232	1.378
3.6364	1.378
3.6496	1.378
3.6630	1.378
3.6765	1.378
3.6900	1.378
3.7037	1.378
3.7175	1.377
3.7313	1.378
3.7453	1.378
3.7594	1.378
3.7736	1.378
3.7879	1.376
3.8023	1.378
3.8168	1.379
3.8314	1.379
3.8462	1.378
3.8610	1.378
3.8760	1.378
3.8911	1.378
3.9063	1.378
3.9216	1.378
3.9370	1.378
3.9526	1.378
3.9683	1.377
3.9841	1.377
4.0000	1.377
4.0161	1.377
4.0323	1.377
4.0486	1.377
4.0650	1.376
4.0816	1.376
4.0984	1.376
4.1152	1.375
4.1322	1.375
4.1494	1.374
4.1667	1.374
4.1841	1.373
4.2017	1.373
4.2194	1.373
4.2373	1.372
4.2553	1.372
4.2735	1.372
4.2918	1.371
4.3103	1.371
4.3290	1.370
4.3478	1.370
4.3668	1.369
4.3860	1.369
4.4053	1.368
4.4248	1.368
4.4444	1.367
4.4643	1.367
4.4843	1.366
4.5045	1.366
4.5249	1.365
4.5455	1.365
4.5662	1.364
4.5872	1.363
4.6083	1.363
4.6296	1.362
4.6512	1.361
4.6729	1.361
4.6948	1.360
4.7170	1.359
4.7393	1.359
4.7619	1.358
4.7847	1.358
4.8077	1.358
4.8309	1.357
4.8544	1.356
4.8780	1.356
4.9020	1.356
4.9261	1.355
4.9505	1.355
4.9751	1.355
5.0000	1.355
5.0251	1.354
5.0505	1.354
5.0761	1.354
5.1020	1.353
5.1282	1.352
5.1546	1.352
5.1813	1.351
5.2083	1.351
5.2356	1.350
5.2632	1.349
5.2910	1.349
5.3191	1.348
5.3476	1.347
5.3763	1.346
5.4054	1.346
5.4348	1.345
5.4645	1.344
5.4945	1.342
5.5249	1.341
5.5556	1.340
5.5866	1.339
5.6180	1.338
5.6497	1.336
5.6818	1.335
5.7143	1.334
5.7471	1.332
5.7803	1.331
5.8140	1.329
5.8480	1.327
5.8824	1.325
5.9172	1.323
5.9524	1.322
5.9680	1.320
6.0241	1.318
6.0606	1.317
6.0976	1.315
6.1350	1.312
6.1728	1.311
6.2112	1.309
6.2500	1.306
6.2893	1.303
6.3291	1.301
6.3694	1.299
6.4103	1.296
6.4516	1.293
6.4935	1.291
6.5359	1.287
6.5789	1.284
6.6225	1.281
6.6667	1.276
6.7114	1.273
6.7568	1.269
6.8027	1.264
6.8493	1.260
6.8966	1.256
6.9444	1.252
6.9930	1.246
7.0423	1.242
7.0922	1.235
7.1429	1.230
7.1942	1.224
7.2464	1.218
7.2993	1.211
7.3529	1.203
7.4074	1.195
7.4627	1.184
7.5188	1.174
7.5758	1.166
7.6336	1.159
7.6923	1.148
7.7519	1.137
7.8125	1.123
7.8740	1.107
7.9365	1.092
8.0000	1.076
8.0645	1.057
8.1301	1.033
8.1967	1.008
8.2645	0.982
8.3333	0.950
8.4034	0.910
8.4746	0.863
8.5470	0.806
8.6207	0.718
8.6957	0.597
8.7719	0.512
8.8496	0.546
8.9286	0.729
9.0090	0.757
9.0909	0.567
9.1743	0.413
9.2593	0.371
9.3458	0.429
9.4340	0.572
9.5238	0.869
9.6154	1.602
9.7087	2.302
9.8039	2.340
9.9010	2.446
10.0000	2.760
10.1010	2.490
10.2041	2.073
10.3093	1.833
10.4167	1.649
10.5263	1.566
10.6383	1.550
10.7527	1.623
10.8696	1.842
10.9890	2.116
11.1111	2.174
11.2360	1.994
11.3636	1.869
11.4943	1.789
11.6279	1.723
11.7647	1.667
11.9048	1.616
12.0482	1.565
12.1951	1.508
12.3457	1.461
12.6582	1.472
12.8205	1.471
12.9870	1.428
13.1579	1.389
13.3333	1.373
13.5135	1.359
13.6986	1.319
13.8889	1.248
14.0845	1.184
14.2857	1.145
14.4928	1.128
14.7059	1.111
14.9254	1.072
15.1515	1.023
15.3846	0.979
15.6250	0.909
15.8730	0.803
16.1290	0.724
16.3934	0.698
16.6667	0.718
16.9492	0.753
17.2414	0.807
17.5439	0.936
17.8571	1.176
18.1818	1.622
18.5185	2.363
18.8679	2.947
19.2308	2.729
19.6078	2.222
20.0000	1.837
20.4082	1.370
20.8333	1.316
21.2766	2.158
21.7391	2.797
22.2222	2.321
22.7273	1.928
23.2558	2.279
23.8095	2.583
24.3902	2.598
25.0000	2.527
25.6410	2.278
26.3158	2.109
27.0270	2.006
27.7778	1.922
28.5714	1.754
29.4118	2.403
30.3030	2.549
31.2500	2.462
32.2581	2.324
33.3333	2.210
34.4828	2.054
35.7143	2.052
37.0370	2.641
38.4615	2.609
40.0000	2.423
41.6667	2.368
43.4783	2.343
45.4545	2.301
47.6190	2.212
50.0000	2.077
52.6316	2.339
55.5556	2.382
58.8235	2.368
62.5000	2.315
66.6667	2.286
71.4286	2.286
76.9231	2.304
83.3333	2.372
90.9091	2.396
100.0000	2.362
